RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:hasAuthor	author_150092	0.1155
dblp:hasAuthor	author_169868	0.0942
dblp:wrote	pub_162313	0.0984
dblp:wrote	pub_31026	0.1079
dblp:publishedIn	venue_899	0.1226
dblp:publishedIn	venue_1369	0.1179
dblp:wrote	pub_90684	0.0833
dblp:inYear	year_37	0.0986
dblp:inYear	year_43	0.1023
dblp:inYear	year_51	0.1004
dblp:publishedIn	venue_1584	0.1523
dblp:inYear	year_51	0.1054
dblp:inYear	year_53	0.1486
dblp:inYear	year_49	0.1197
dblp:wrote	pub_71907	0.0882
dblp:wrote	pub_155656	0.0803
dblp:hasAuthor	author_5371	0.0806
dblp:wrote	pub_134717	0.1023
dblp:wrote	pub_13579	0.0963
dblp:inYear	year_53	0.1376
dblp:hasAuthor	author_212670	0.0887
dblp:publishedIn	venue_1214	0.1550
dblp:publishedIn	venue_1087	0.1241
dblp:wrote	pub_145201	0.0946
dblp:publishedIn	venue_1221	0.1371
dblp:hasAuthor	author_55587	0.0773
dblp:publishedIn	venue_219	0.1847
dblp:hasAuthor	author_197849	0.1134
dblp:inYear	year_53	0.0938
dblp:inYear	year_57	0.1020
dblp:hasAuthor	author_235091	0.0954
dblp:publishedIn	venue_426	0.1127
dblp:publishedIn	venue_163	0.2238
dblp:hasAuthor	author_14297	0.1634
dblp:wrote	pub_176425	0.0943
dblp:hasAuthor	author_83213	0.0652
dblp:hasAuthor	author_114734	0.0848
dblp:hasAuthor	author_51748	0.0885
dblp:inYear	year_61	0.1020
dblp:inYear	year_42	0.1093
dblp:hasAuthor	author_246104	0.0832
dblp:publishedIn	venue_695	0.1130
dblp:inYear	year_57	0.1246
dblp:publishedIn	venue_163	0.1405
dblp:wrote	pub_66863	0.0945
dblp:wrote	pub_134438	0.1181
dblp:wrote	pub_71859	0.0833
dblp:hasAuthor	author_21191	0.0972
dblp:publishedIn	venue_219	0.1871
dblp:wrote	pub_40331	0.0881
dblp:wrote	pub_143482	0.0948
dblp:inYear	year_25	0.1206
dblp:hasAuthor	author_74270	0.0981
dblp:wrote	pub_70667	0.0935
dblp:hasAuthor	author_164822	0.1143
dblp:wrote	pub_129091	0.1192
dblp:hasAuthor	author_249697	0.1479
dblp:publishedIn	venue_219	0.1586
dblp:hasAuthor	author_134019	0.1135
dblp:wrote	pub_75633	0.1075
dblp:publishedIn	venue_292	0.1442
dblp:wrote	pub_57552	0.0710
dblp:publishedIn	venue_663	0.1211
dblp:hasAuthor	author_97193	0.1168
dblp:inYear	year_53	0.1510
dblp:inYear	year_56	0.1282
dblp:inYear	year_61	0.1352
dblp:inYear	year_57	0.0945
dblp:wrote	pub_144138	0.0911
dblp:hasAuthor	author_75345	0.0887
dblp:inYear	year_53	0.0972
dblp:inYear	year_38	0.1128
dblp:wrote	pub_160527	0.0811
dblp:inYear	year_51	0.1019
dblp:publishedIn	venue_1087	0.1566
dblp:publishedIn	venue_936	0.1157
dblp:wrote	pub_87235	0.1017
dblp:publishedIn	venue_368	0.1186
dblp:wrote	pub_18374	0.0742
dblp:hasAuthor	author_46991	0.0854
dblp:hasAuthor	author_214499	0.1211
dblp:publishedIn	venue_934	0.1227
dblp:publishedIn	venue_437	0.1427
dblp:hasAuthor	author_34224	0.0875
dblp:hasAuthor	author_235026	0.1317
dblp:inYear	year_51	0.0935
dblp:inYear	year_53	0.0832
dblp:hasAuthor	author_226308	0.1730
dblp:inYear	year_57	0.1000
dblp:hasAuthor	author_24038	0.1262
dblp:wrote	pub_120521	0.0736
dblp:wrote	pub_28899	0.1046
dblp:inYear	year_42	0.1032
dblp:publishedIn	venue_907	0.1503
dblp:publishedIn	venue_893	0.1282
dblp:hasAuthor	author_22098	0.1143
dblp:inYear	year_54	0.1093
dblp:publishedIn	venue_1624	0.1327
dblp:wrote	pub_35833	0.1099
dblp:wrote	pub_21636	0.0786
dblp:publishedIn	venue_182	0.1580
dblp:wrote	pub_87503	0.0797
dblp:inYear	year_61	0.1167
dblp:wrote	pub_43408	0.0848
dblp:wrote	pub_33095	0.0883
dblp:wrote	pub_3311	0.0976
dblp:wrote	pub_87313	0.0923
dblp:publishedIn	venue_1161	0.1367
dblp:hasAuthor	author_210095	0.0683
dblp:inYear	year_53	0.1185
dblp:publishedIn	venue_936	0.1369
dblp:hasAuthor	author_130765	0.0918
dblp:hasAuthor	author_240696	0.1071
dblp:hasAuthor	author_14774	0.0948
dblp:wrote	pub_5569	0.0979
dblp:wrote	pub_64889	0.1001
dblp:wrote	pub_106915	0.0754
dblp:inYear	year_51	0.1235
dblp:wrote	pub_89410	0.0924
dblp:hasAuthor	author_151507	0.0731
dblp:wrote	pub_38280	0.0785
dblp:wrote	pub_62005	0.1202
dblp:wrote	pub_126603	0.0852
dblp:publishedIn	venue_1539	0.1247
dblp:inYear	year_53	0.1287
dblp:hasAuthor	author_245266	0.1314
dblp:inYear	year_53	0.1118
dblp:wrote	pub_119761	0.1101
dblp:hasAuthor	author_97726	0.0819
dblp:wrote	pub_141191	0.0987
dblp:wrote	pub_167052	0.0725
dblp:wrote	pub_31385	0.0748
dblp:wrote	pub_41773	0.1053
dblp:hasAuthor	author_203525	0.0910
dblp:hasAuthor	author_18316	0.0908
dblp:publishedIn	venue_936	0.1222
dblp:wrote	pub_167719	0.0972
dblp:publishedIn	venue_970	0.1236
dblp:publishedIn	venue_648	0.1566
dblp:wrote	pub_5910	0.1017
dblp:publishedIn	venue_1250	0.1384
dblp:inYear	year_53	0.1147
dblp:inYear	year_51	0.1080
dblp:hasAuthor	author_251044	0.1684
dblp:publishedIn	venue_1192	0.1423
dblp:wrote	pub_127638	0.0839
dblp:wrote	pub_43136	0.0815
dblp:inYear	year_53	0.0947
dblp:wrote	pub_38280	0.0858
dblp:hasAuthor	author_103396	0.0948
dblp:hasAuthor	author_205012	0.0964
dblp:publishedIn	venue_437	0.1433
dblp:inYear	year_61	0.1170
dblp:hasAuthor	author_241275	0.0955
dblp:wrote	pub_32873	0.0905
dblp:publishedIn	venue_220	0.1493
dblp:hasAuthor	author_233452	0.1012
dblp:wrote	pub_20114	0.0761
dblp:wrote	pub_106077	0.1024
dblp:wrote	pub_18488	0.0742
dblp:inYear	year_57	0.1172
dblp:inYear	year_53	0.1255
dblp:wrote	pub_83892	0.1153
dblp:inYear	year_53	0.1423
dblp:hasAuthor	author_190374	0.1106
dblp:hasAuthor	author_115827	0.1091
dblp:wrote	pub_2239	0.1000
dblp:hasAuthor	author_7603	0.1585
dblp:inYear	year_53	0.1112
dblp:hasAuthor	author_122976	0.1217
dblp:hasAuthor	author_81361	0.0838
dblp:wrote	pub_186070	0.1003
dblp:hasAuthor	author_97193	0.1285
dblp:inYear	year_51	0.1023
dblp:publishedIn	venue_907	0.1068
dblp:inYear	year_51	0.1115
dblp:wrote	pub_141556	0.0694
dblp:hasAuthor	author_212546	0.0930
dblp:publishedIn	venue_936	0.1398
dblp:publishedIn	venue_749	0.1460
dblp:publishedIn	venue_1290	0.1448
dblp:wrote	pub_47916	0.0975
dblp:publishedIn	venue_1192	0.1359
dblp:hasAuthor	author_59374	0.1145
dblp:inYear	year_54	0.0969
dblp:wrote	pub_103313	0.0658
dblp:wrote	pub_39044	0.1002
dblp:publishedIn	venue_1192	0.1583
dblp:wrote	pub_129291	0.0835
dblp:wrote	pub_189146	0.0724
dblp:hasAuthor	author_216731	0.0928
dblp:publishedIn	venue_37	0.1305
dblp:publishedIn	venue_310	0.1181
dblp:publishedIn	venue_905	0.1294
dblp:wrote	pub_51792	0.1048
dblp:inYear	year_53	0.0891
dblp:hasAuthor	author_88641	0.1206
dblp:hasAuthor	author_159957	0.1113
dblp:inYear	year_51	0.1167
dblp:hasAuthor	author_162870	0.1144
dblp:inYear	year_6	0.1117
dblp:hasAuthor	author_178522	0.0771
dblp:hasAuthor	author_87748	0.1168
dblp:hasAuthor	author_106850	0.1144
dblp:publishedIn	venue_934	0.1515
dblp:wrote	pub_154767	0.0809
dblp:wrote	pub_149882	0.1004
dblp:inYear	year_52	0.1204
dblp:wrote	pub_169403	0.1220
dblp:hasAuthor	author_166515	0.0783
dblp:publishedIn	venue_1214	0.1323
dblp:wrote	pub_33179	0.0908
dblp:hasAuthor	author_37022	0.0752
dblp:wrote	pub_2572	0.0802
dblp:publishedIn	venue_1214	0.1265
dblp:publishedIn	venue_1285	0.1436
