RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:hasAuthor	author_593441	0.0941
dblp:hasAuthor	author_337568	0.0883
dblp:publishedIn	venue_2593	0.1818
dblp:wrote	pub_277273	0.0649
dblp:publishedIn	venue_2230	0.1166
dblp:wrote	pub_23682	0.0998
dblp:wrote	pub_155793	0.0735
dblp:publishedIn	venue_1979	0.1307
dblp:publishedIn	venue_2584	0.1226
dblp:wrote	pub_10240	0.0733
dblp:hasAuthor	author_389304	0.0548
dblp:hasAuthor	author_557412	0.1144
dblp:inYear	year_5	0.1558
dblp:publishedIn	venue_1171	0.1287
dblp:inYear	year_50	0.1742
dblp:wrote	pub_303492	0.0672
dblp:inYear	year_10	0.1208
dblp:hasAuthor	author_25262	0.0967
dblp:wrote	pub_126874	0.0885
dblp:wrote	pub_192248	0.1060
dblp:publishedIn	venue_1810	0.1368
dblp:hasAuthor	author_46260	0.0787
dblp:publishedIn	venue_3009	0.1261
dblp:hasAuthor	author_196651	0.0736
dblp:hasAuthor	author_60454	0.0749
dblp:hasAuthor	author_76597	0.0927
dblp:inYear	year_21	0.1563
dblp:inYear	year_5	0.1659
dblp:wrote	pub_188665	0.0937
dblp:publishedIn	venue_1753	0.1235
dblp:publishedIn	venue_2664	0.1095
dblp:hasAuthor	author_323519	0.1445
dblp:publishedIn	venue_1180	0.1228
dblp:inYear	year_17	0.1292
dblp:hasAuthor	author_391749	0.0972
dblp:wrote	pub_214088	0.0611
dblp:inYear	year_28	0.1211
dblp:publishedIn	venue_1132	0.1618
dblp:inYear	year_52	0.1408
dblp:publishedIn	venue_3031	0.1263
dblp:inYear	year_24	0.2279
dblp:wrote	pub_447283	0.1421
dblp:publishedIn	venue_2133	0.1679
dblp:inYear	year_0	0.1662
dblp:hasAuthor	author_329315	0.0777
dblp:inYear	year_27	0.1234
dblp:hasAuthor	author_92208	0.0614
dblp:wrote	pub_90119	0.0832
dblp:wrote	pub_164509	0.0702
dblp:hasAuthor	author_366440	0.0872
dblp:publishedIn	venue_2735	0.1221
dblp:publishedIn	venue_741	0.1009
dblp:hasAuthor	author_2099	0.0781
dblp:wrote	pub_89323	0.0704
dblp:wrote	pub_139679	0.0678
dblp:wrote	pub_441948	0.0732
dblp:publishedIn	venue_93	0.1456
dblp:wrote	pub_77379	0.0545
dblp:hasAuthor	author_408298	0.0756
dblp:wrote	pub_279283	0.1047
dblp:publishedIn	venue_3038	0.1124
dblp:publishedIn	venue_1747	0.1031
dblp:hasAuthor	author_385058	0.0652
dblp:hasAuthor	author_35631	0.0709
dblp:wrote	pub_205572	0.1028
dblp:wrote	pub_500	0.1010
dblp:hasAuthor	author_540864	0.0724
dblp:publishedIn	venue_2703	0.1332
dblp:inYear	year_29	0.2012
